policy_gradient_wx.py:53: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:278.)
  state = torch.tensor([state], dtype=torch.float).to(self.device)
Episode 338: Reward 200
Episode 339: Reward 200
Episode 340: Reward 160
Episode 341: Reward 83
Episode 342: Reward 150
Episode 343: Reward 200
Episode 344: Reward 200
Episode 345: Reward 129
Episode 346: Reward 49
Episode 347: Reward 200
Episode 348: Reward 200
Episode 349: Reward 200
Episode 350: Reward 200
Episode 351: Reward 192
Episode 352: Reward 116
Episode 353: Reward 200
Episode 354: Reward 33
Episode 355: Reward 200
Episode 356: Reward 111
Episode 357: Reward 200
Episode 358: Reward 200
Episode 359: Reward 117
Episode 360: Reward 200
Episode 361: Reward 130
Episode 362: Reward 163
Episode 363: Reward 114
Episode 364: Reward 104
Episode 365: Reward 200
Episode 366: Reward 200
Episode 367: Reward 200
Episode 368: Reward 200
Episode 369: Reward 58
Episode 370: Reward 200
Episode 371: Reward 200
Episode 372: Reward 145
Episode 373: Reward 88
Episode 374: Reward 146
Episode 375: Reward 142
Episode 376: Reward 200
Episode 377: Reward 200
Episode 378: Reward 200
Episode 379: Reward 200
Episode 380: Reward 200
Episode 381: Reward 200
Episode 382: Reward 200
Episode 383: Reward 200
Episode 384: Reward 200
Episode 385: Reward 200
Episode 386: Reward 200
Episode 387: Reward 200
Episode 388: Reward 91
Episode 389: Reward 200
Episode 390: Reward 200
Episode 391: Reward 200
Episode 392: Reward 200
Episode 393: Reward 200
Episode 394: Reward 200
Episode 395: Reward 200
Episode 396: Reward 200
Episode 397: Reward 115
Episode 398: Reward 200
Episode 399: Reward 200
Episode 400: Reward 179
Episode 401: Reward 200
Episode 402: Reward 200
Episode 403: Reward 200
Episode 404: Reward 200
Episode 405: Reward 200
Episode 406: Reward 200
Episode 407: Reward 200
Episode 408: Reward 200
Episode 409: Reward 135
Episode 410: Reward 200
Episode 411: Reward 171
Episode 412: Reward 136
Episode 413: Reward 200
Episode 414: Reward 200
Episode 415: Reward 176
Episode 416: Reward 200
Episode 417: Reward 200
Episode 418: Reward 200
Episode 419: Reward 200
Episode 420: Reward 200
Episode 421: Reward 200
Episode 422: Reward 159
Episode 423: Reward 96
Episode 424: Reward 200
Episode 425: Reward 183
Episode 426: Reward 200
Episode 427: Reward 194
Episode 428: Reward 138
Episode 429: Reward 189
Episode 430: Reward 200
Episode 431: Reward 108
Episode 432: Reward 109
Episode 433: Reward 66
Episode 434: Reward 137
Episode 435: Reward 77
Episode 436: Reward 56
Episode 437: Reward 169
Episode 438: Reward 200
Episode 439: Reward 124
Episode 440: Reward 200
Episode 441: Reward 148
Episode 442: Reward 126
Episode 443: Reward 129
Episode 444: Reward 198
Episode 445: Reward 135
Episode 446: Reward 159
Episode 447: Reward 163
Episode 448: Reward 122
Episode 449: Reward 146
Episode 450: Reward 156
Episode 451: Reward 200
Episode 452: Reward 200
Episode 453: Reward 200
Episode 454: Reward 133
Episode 455: Reward 200
Episode 456: Reward 137
Episode 457: Reward 200
Episode 458: Reward 115
Episode 459: Reward 61
Episode 460: Reward 200
Episode 461: Reward 172
Episode 462: Reward 200
Episode 463: Reward 124
Episode 464: Reward 200
Episode 465: Reward 120
Episode 466: Reward 200
Episode 467: Reward 189
Episode 468: Reward 147
Episode 469: Reward 200
Episode 470: Reward 192
Episode 471: Reward 166
Episode 472: Reward 200
Episode 473: Reward 200
Episode 474: Reward 198
Episode 475: Reward 127
Episode 476: Reward 200
Episode 477: Reward 118
Episode 478: Reward 200
Episode 479: Reward 200
Episode 480: Reward 133
Episode 481: Reward 190
Episode 482: Reward 185
Episode 483: Reward 200
Episode 484: Reward 200
Episode 485: Reward 200
Episode 486: Reward 200
Episode 487: Reward 200
Episode 488: Reward 159
