policy_gradient_wx.py:53: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:278.)
  state = torch.tensor([state], dtype=torch.float).to(self.device)
Episode 840: Reward 200
Episode 841: Reward 200
Episode 842: Reward 200
Episode 843: Reward 134
Episode 844: Reward 200
Episode 845: Reward 200
Episode 846: Reward 200
Episode 847: Reward 200
Episode 848: Reward 200
Episode 849: Reward 96
Episode 850: Reward 200
Episode 851: Reward 200
Episode 852: Reward 200
Episode 853: Reward 200
Episode 854: Reward 200
Episode 855: Reward 200
Episode 856: Reward 102
Episode 857: Reward 200
Episode 858: Reward 200
Episode 859: Reward 200
Episode 860: Reward 200
Episode 861: Reward 200
Episode 862: Reward 200
Episode 863: Reward 200
Episode 864: Reward 200
Episode 865: Reward 200
Episode 866: Reward 200
Episode 867: Reward 200
Episode 868: Reward 123
Episode 869: Reward 200
Episode 870: Reward 200
Episode 871: Reward 200
Episode 872: Reward 200
Episode 873: Reward 200
Episode 874: Reward 200
Episode 875: Reward 200
Episode 876: Reward 200
Episode 877: Reward 200
Episode 878: Reward 130
Episode 879: Reward 200
Episode 880: Reward 200
Episode 881: Reward 200
Episode 882: Reward 200
Episode 883: Reward 200
Episode 884: Reward 200
Episode 885: Reward 200
Episode 886: Reward 200
Episode 887: Reward 200
Episode 888: Reward 200
Episode 889: Reward 200
Episode 890: Reward 200
Episode 891: Reward 200
Episode 892: Reward 200
Episode 893: Reward 200
Episode 894: Reward 200
Episode 895: Reward 147
Episode 896: Reward 200
Episode 897: Reward 200
Episode 898: Reward 200
Episode 899: Reward 200
Episode 900: Reward 153
Episode 901: Reward 109
Episode 902: Reward 200
Episode 903: Reward 200
Episode 904: Reward 200
Episode 905: Reward 200
Episode 906: Reward 200
Episode 907: Reward 200
Episode 908: Reward 200
Episode 909: Reward 200
Episode 910: Reward 200
Episode 911: Reward 112
Episode 912: Reward 200
Episode 913: Reward 200
Episode 914: Reward 200
Episode 915: Reward 200
Episode 916: Reward 200
